"stopid";"next_bus";"location_platform";"location_stop";"stop_name";"next_route"
-19;1;0;0;"菁菁堂广场(终点站)";""
-18;1;0;0;"校医院";"LINESTRING (121.433789750269995 31.02302514206,121.433651450270006 31.022997642509999,121.43328315027 31.022910643940001,121.432827150270001 31.02280494567,121.432478450269997 31.022722147020001,121.432240850270006 31.022672447830001,121.432037150270006 31.022601149,121.431738350269995 31.022464851230001,121.431738350269995 31.022464851230001,121.431622150270002 31.02238415255,121.431463850270006 31.022303753869998,121.431169750270001 31.022207355439999,121.431133850270001 31.022196055630001,121.430991550269994 31.022151256360001,121.430945150270006 31.022136656600001)"
-17;1;0;0;"东上院";"LINESTRING (121.439353850269995 31.025161707110001,121.43942535027 31.02499560983,121.439544050270001 31.024719814339999,121.439587450269997 31.024619015990002,121.439587450269997 31.024619015990002,121.439507350270006 31.02459521638,121.438490550270004 31.0242758216,121.437351950269999 31.023934427189999,121.436931550270003 31.02380842925,121.436486050270005 31.02368653125,121.435469750270002 31.02338023626,121.435237050270004 31.023318337269998,121.435005350270004 31.02326713811,121.433789750269995 31.02302514206)"
-16;1;0;0;"东中院";"LINESTRING (121.438554650270007 31.027018776729999,121.438657750269996 31.02677928065,121.439021950270003 31.02593309449,121.439054450270007 31.02585739573,121.439353850269995 31.025161707110001)"
-15;1;0;0;"图书信息楼";"LINESTRING (121.438706750270001 31.029098342699999,121.437851850269993 31.028827647130001,121.437770750270005 31.028802047549998,121.437770750270005 31.028802047549998,121.437804150269997 31.028725048809999,121.437816050270001 31.02869764926,121.437816050270001 31.02869764926,121.437935250270002 31.028457953179998,121.437935250270002 31.028457953179998,121.438335050269998 31.02752896838,121.438554650270007 31.027018776729999)"
-14;1;0;0;"新行政楼";"LINESTRING (121.440888550270003 31.029803831159999,121.440676450270004 31.029735432279999,121.440304350269997 31.029615534240001,121.440190350270001 31.029578734840001,121.440092850270005 31.029546535369999,121.440092850270005 31.029546535369999,121.439684550270002 31.02941183758,121.439684550270002 31.02941183758,121.439490150270004 31.02934763863,121.439397550270002 31.029317139130001,121.43931835027 31.02929203954,121.438706750270001 31.029098342699999)"
-13;1;0;0;"电信学院";"LINESTRING (121.442719550269999 31.028781447890001,121.442520450269996 31.0291292422,121.442409650269994 31.029471536599999,121.442378450269999 31.02990462951,121.442378450269999 31.02990462951,121.442403950270005 31.030150025499999,121.442403950270005 31.030150025499999,121.442411050269996 31.030211124499999,121.442421150269993 31.03029772308,121.442421150269993 31.03029772308,121.442292950270001 31.030256423760001,121.441980150269998 31.03015562541,121.441073450269997 31.029863430190002,121.441040850269999 31.029852930360001,121.440888550270003 31.029803831159999)"
-12;1;0;0;"南大门";"LINESTRING (121.446223950269996 31.026692982059998,121.445975050269993 31.026613683360001,121.445837550269999 31.026573584009999,121.445782450270002 31.026556084300001,121.445782450270002 31.026556084300001,121.445709050269997 31.02672578152,121.44545695027 31.027308971979998,121.44545695027 31.027308971979998,121.445356450269998 31.027541468180001,121.445356450269998 31.027541468180001,121.445223950270005 31.027847863160002,121.445181150270002 31.027946861539998,121.445181150270002 31.027946861539998,121.445119650270001 31.02792096197,121.445070050270004 31.027904662240001,121.445070050270004 31.027904662240001,121.44503565027 31.027893362419999,121.444948650270007 31.027864862889999,121.444948650270007 31.027864862889999,121.444451950269993 31.02788346258,121.444157450269998 31.02790386225,121.443823950270001 31.02799596074,121.443529050270001 31.028131258529999,121.443093550270007 31.028415953869999,121.442824650269998 31.028657049930001,121.442719550269999 31.028781447890001)"
-11;1;0;0;"机动学院";"LINESTRING (121.448555750270003 31.029838130600002,121.448652250270001 31.029612334300001,121.448691550269999 31.029524635729999,121.448724050270002 31.029446837,121.448903650269997 31.02903974366,121.449090850269997 31.028611850659999,121.449090850269997 31.028611850659999,121.449132950269998 31.028457553190002,121.449155950269997 31.02826705631,121.449155950269997 31.02826705631,121.449136850269994 31.028050359849999,121.44907165027 31.027859962969998,121.448926050270003 31.02768266587,121.448700050270006 31.027518468549999,121.448473950269999 31.02741017033,121.448473950269999 31.02741017033,121.446223950269996 31.026692982059998)"
-10;1;0;0;"东大门";"LINESTRING (121.447373750270003 31.03238448894,121.447490350270002 31.032208691809998,121.447538750269999 31.032122993209999,121.447628050269998 31.031962495839998,121.447658950269997 31.031891397,121.447672650269993 31.031860397509998,121.447773350269998 31.031629801280001,121.447773350269998 31.031629801280001,121.448013050270006 31.03108041027,121.448305550270007 31.030412421200001,121.448333450269999 31.030348822240001,121.448512750269998 31.029939228949999,121.448555750270003 31.029838130600002)"
